category_list,funding_total_usd,country_code,funding_rounds,Num_of_investor,funding_duration,first_funding_at_UTC,last_funding_at_UTC,label
Enterprise Software,1155981.0,USA,4,3,1274,15400,16674,0
Design|EDA Tools|Manufacturing,4500000.0,USA,1,3,0,13291,13291,0
Medical,28000000.0,USA,2,4,1649,12265,13914,1
Biotechnology,17000000.0,USA,5,2,1755,13860,15615,0
Android|Apps|iOS|Photography|Photo Sharing|Video,750000.0,USA,2,1,508,15949,16457,0
Email|Messaging,3000000.0,USA,1,2,0,14245,14245,1
Web Hosting,500000.0,ISR,1,1,0,12813,12813,0
Security,62000000.0,USA,4,21,2478,11570,14048,1
Business Analytics|Contact Management|Information Technology|Mobile|Services|Software,34060000.0,ESP,1,2,0,13005,13005,1
Security,26914000.0,USA,3,6,2372,10957,13329,1
Digital Media|Mobile|Photography|Software|Video,20000000.0,USA,1,2,0,15236,15236,0
Big Data|Services|Social Network Media,1567000.0,JPN,3,4,1717,14883,16600,0
Health Care|Health Diagnostics,3496500.0,FIN,1,1,0,15469,15469,0
Hardware + Software,28952603.0,USA,2,4,1045,15719,16764,0
Semiconductors,5294000.0,NOR,2,3,101,13805,13906,1
Network Security,27250000.0,CAN,2,4,225,15461,15686,0
Biotechnology,162000.0,USA,3,2,39,16455,16494,0
Computers|Network Security|Wireless,8000000.0,USA,1,2,0,12607,12607,0
Biotechnology,3440000.0,USA,2,3,967,13787,14754,0
Computers|Data Security|Enterprise Software,600000.0,CYP,1,1,0,16407,16407,0
Software,3650000.0,SVK,1,1,0,13224,13224,0
Biotechnology|Clinical Trials,14000000.0,USA,1,4,0,12065,12065,0
Biotechnology,112785321.0,USA,3,3,1679,14929,16608,1
E-Commerce,40000.0,USA,1,1,0,15562,15562,0
E-Commerce|Finance|Startups|Venture Capital,12500000.0,THA,2,4,476,15859,16335,0
Investment Management,10080000.0,FRA,1,3,0,13455,13455,0
Health Care,64080000.0,USA,3,8,1542,12784,14326,1
Language Learning,1955000.0,USA,2,3,12,16491,16503,0
Internet|Technology,6809333.0,USA,4,11,1114,15490,16604,0
Cyber Security|Data Security|Security,25500000.0,USA,3,20,527,16195,16722,0
Software,5500000.0,USA,1,1,0,16680,16680,0
Analytics|Bridging Online and Offline|Software,435000.0,USA,1,7,0,16405,16405,0
Application Platforms|Online Gaming|Social Games,955000.0,USA,2,1,79,16608,16687,0
Biotechnology,220260000.0,USA,3,1,938,14412,15350,1
SaaS|Software,47952301.0,USA,7,3,4586,11710,16296,0
Marketplaces|Sponsorship,20000.0,USA,1,1,0,16436,16436,0
Biotechnology,63643889.0,NLD,4,18,2077,14497,16574,1
Health and Wellness|Health Care|Pharmaceuticals,25000000.0,USA,1,2,0,12844,12844,0
Data Integration|Data Visualization|Enterprise Software|SaaS,1525000.0,USA,1,8,0,16448,16448,0
Biotechnology,15800000.0,USA,1,3,0,13689,13689,0
Algorithms|Analytics|Consumer Lending|Finance|Finance Technology|Financial Services|FinTech|Innovation Engineering|Machine Learning|Personal Finance,80050000.0,USA,4,2,413,16161,16574,0
Biotechnology|Health Care,128352074.0,USA,7,11,1667,14873,16540,1
Hardware|Software,167000.0,RUS,2,1,192,15514,15706,0
Automotive|Cyber Security,30000000.0,ISR,2,12,347,16341,16688,0
Advertising|Deep Information Technology|Mobile|Predictive Analytics,8791580.0,BEL,5,8,1264,15492,16756,0
Analytics|Brand Marketing|Online Scheduling|Social CRM|Software|Twitter Applications,1565000.0,USA,2,2,311,14883,15194,1
Software,20995129.0,USA,7,9,1598,14768,16366,0
Security,10450000.0,USA,1,1,0,14592,14592,0
Analytics|Health Diagnostics,350000.0,USA,1,1,0,13829,13829,0
Biotechnology|Innovation Management|Services,5500000.0,USA,1,4,0,12584,12584,0
Audio|Technology|Wearables,13600000.0,USA,1,9,0,16611,16611,0
Software,9050000.0,GBR,3,5,1979,14040,16019,0
Finance,4650000.0,USA,2,2,423,15373,15796,0
Billing|Cloud Computing|Enterprise Software|Monetization|SaaS|Subscription Businesses,82300500.0,USA,4,13,2204,13824,16028,0
Biotechnology|Health Diagnostics,100000.0,USA,1,1,0,15706,15706,0
Hardware + Software,1670000.0,FRA,1,1,0,14865,14865,0
Digital Media|Independent Music|Music|Music Services,15000.0,USA,1,3,0,15492,15492,0
Pharmaceuticals,2300000.0,FRA,1,1,0,14069,14069,0
Software,10948780.0,FRA,3,5,3404,13171,16575,0
Consulting|Wireless,64700000.0,USA,2,3,225,13920,14145,0
Analytics|Biotechnology|Medical,1632595.0,GBR,2,2,2118,14304,16422,0
Mobile,9513175.0,GBR,3,10,792,13914,14706,1
Software,5000000.0,USA,1,1,0,13848,13848,0
Real Estate,54000000.0,IND,2,2,190,15904,16094,0
Hardware + Software,30350000.0,USA,3,13,880,12450,13330,0
Biotechnology|Health Diagnostics,67500000.0,USA,3,5,1103,14245,15348,1
Clean Technology,7100000.0,USA,2,4,514,14057,14571,0
Health Care,4000000.0,USA,1,2,0,16534,16534,0
B2B|Business Services|Services,30000000.0,USA,1,2,0,10897,10897,0
Music,3380000.0,BEL,1,4,0,14208,14208,0
Hardware + Software,181860000.0,USA,7,24,2053,11674,13727,1
Education,2450000.0,USA,2,3,243,14840,15083,0
Software,622000.0,USA,1,2,0,13514,13514,0
Biotechnology,23500000.0,CAN,2,4,103,13105,13208,1
Health and Wellness,36000000.0,USA,1,3,0,16631,16631,0
Education|Nonprofits|Universities,1000000.0,USA,1,1,0,16114,16114,0
Search,4450000.0,USA,2,20,176,15279,15455,0
Enterprise Software,7964826.0,USA,2,2,2941,12585,15526,0
Games|Social Games,5025000.0,USA,2,1,3847,11931,15778,0
Hardware + Software,1800000.0,USA,1,3,0,15930,15930,0
Business Services|Finance Technology|FinTech|Innovation Engineering,3000000.0,USA,1,1,0,16287,16287,0
Advertising|Information Technology|Internet|Internet Marketing|Search|SEO,1000000.0,USA,1,1,0,14670,14670,0
Data Security|Flash Storage|Home & Garden|Linux|Open Source|Software,7000000.0,USA,2,4,1001,12634,13635,1
Defense|Security|Software,300000.0,USA,1,2,0,15675,15675,0
Consulting,62101270.0,GBR,5,10,3396,12486,15882,0
Games,1461360.0,ITA,1,5,0,15533,15533,0
Computers|Networking|Software,22000000.0,USA,2,5,202,16386,16588,0
Databases|Innovation Management|Software|Storage,12500000.0,USA,1,3,0,11764,11764,0
Cloud Data Services|Data Security|Information Technology|Services,4662037.0,GBR,3,6,956,15568,16524,0
Semiconductors,3000000.0,CHN,1,1,0,12843,12843,0
Biotechnology,25492899.0,USA,2,4,2,15671,15673,0
Social Media,1347000.0,USA,2,1,805,14533,15338,0
Pharmaceuticals,31300000.0,USA,2,6,161,16310,16471,0
Biotechnology,50000000.0,USA,2,7,184,16034,16218,0
Cyber Security|IaaS|IT and Cybersecurity|Security,60100000.0,USA,6,6,1132,15044,16176,0
Cloud Security|Enterprise Software|Mobile Commerce|Productivity Software,2000000.0,USA,1,3,0,15763,15763,1
Security|Web Tools,955000.0,USA,2,2,1250,13161,14411,1
Software,600000.0,USA,1,3,0,15964,15964,0
Biotechnology,5587582.0,USA,5,2,2339,14116,16455,0
Beauty|Online Shopping|SaaS,200000.0,RUS,1,1,0,16311,16311,0
Biotechnology,46000000.0,USA,2,8,1142,14866,16008,0
Finance,3500000.0,IND,1,3,0,15981,15981,0
Agriculture|Biotechnology|Consumer Goods|Food Processing,1000000.0,USA,1,1,0,16574,16574,0
Local Based Services|Mobile|Social Search,90000.0,USA,4,6,290,15935,16225,0
Fashion|Music|Social Network Media|Video Chat,275000.0,USA,1,2,0,14624,14624,0
Advertising,15564591.0,USA,3,7,1277,13330,14607,0
Dental|Health Care,110000000.0,CHN,3,8,1510,14669,16179,0
Curated Web,4242704.0,GBR,1,1,0,15918,15918,0
Biotechnology,85000000.0,USA,1,1,0,16496,16496,1
Enterprise Software,13425000.0,USA,5,5,2246,14092,16338,0
Cloud Security|Software|Web Development,45550000.0,USA,4,5,2209,11372,13581,0
Software,30000000.0,USA,1,2,0,13780,13780,0
Software,29638309.0,USA,5,10,2121,14579,16700,0
Clean Technology,14000000.0,USA,1,1,0,14846,14846,0
Lifestyle|Lifestyle Products|Real Time,105000.0,USA,1,1,0,16071,16071,0
Cars|Online Rental|Shared Services,64512.0,CHL,2,2,876,15407,16283,0
Events|Meeting Software|Social Media|Startups|Travel,10000.0,USA,1,1,0,15615,15615,0
Public Transportation,40000.0,USA,1,1,0,15772,15772,0
Logistics|Manufacturing|Storage,2250000.0,USA,1,1,0,16381,16381,0
Biotechnology|Medical,34898793.0,GBR,1,7,0,12326,12326,1
Enterprise Software|Payments,58900000.0,USA,7,10,4469,11047,15516,0
Biotechnology,65982896.0,USA,3,1,1523,14469,15992,1
Information Services,3000000.0,USA,1,1,0,16595,16595,0
Communications Hardware|Enterprise Software|Hardware|Networking,15800000.0,USA,2,5,424,9862,10286,1
Manufacturing,6750000.0,USA,1,1,0,14559,14559,0
Games,25000000.0,USA,2,9,310,12534,12844,1
Biotechnology,30400002.0,AUT,3,7,1077,14874,15951,0
Data Privacy|Data Security|Network Security,49000000.0,USA,3,5,1169,11652,12821,1
Biotechnology,28000000.0,USA,5,9,650,14623,15273,0
Biotechnology,63388808.0,USA,10,6,2803,13784,16587,0
E-Commerce,40000.0,CHL,1,1,0,15911,15911,0
Art|Design,56240000.0,USA,4,8,3187,12529,15716,0
Games,2500000.0,USA,2,1,433,16260,16693,0
Mobile,589000.0,SGP,1,2,0,15987,15987,0
Security,3239000.0,DEU,2,4,373,12965,13338,1
Art|Marketplaces|Mobile|Mobile Commerce,281000.0,USA,2,1,471,15826,16297,0
Art|Discounts|E-Commerce|Shopping,40000.0,USA,1,1,0,15380,15380,0
Art|Curated Web|Design,50880053.0,USA,6,40,1910,14610,16520,0
Art,551179.800362676,FRA,1,1,0,16741,16741,0
Architecture|Design|Interior Design,50000.0,USA,1,1,0,14903,14903,0
Biotechnology,13276082.0,USA,3,2,726,15974,16700,0
Software,3200000.0,USA,1,10,0,16252,16252,0
Design,200000.0,USA,1,5,0,16191,16191,0
Artists Globally|Internet|Social Network Media,99498.0,PER,2,2,1005,15309,16314,0
Biotechnology,30000000.0,USA,2,2,280,15266,15546,0
Analytics|Health Care|Healthcare Services|Services|Visualization,1995000.0,USA,3,4,104,15974,16078,0
Biotechnology,16550704.802611401,FRA,2,5,1044,13829,14873,0
Hardware + Software,10250000.0,USA,3,1,1244,13812,15056,0
Hardware + Software,28100000.0,USA,3,10,913,13683,14596,0
Application Platforms|Customer Service|Software,85177.2431675304,BGR,2,2,212,16436,16648,0
Banking|Business Intelligence|CRM|Enterprise Software|Finance|SaaS|Security|Social CRM|Social Media Monitoring|Software|Utilities,11176477.0,GBR,2,3,1226,15379,16605,0
Art|Crowdfunding|FinTech|Marketplaces,1200000.0,USA,2,12,171,16262,16433,0
Artificial Intelligence|Fashion|Services,67022.0,BGR,1,1,0,16283,16283,0
Hardware + Software,2336224.0,USA,2,1,358,15719,16077,0
Biotechnology,10500000.0,USA,1,1,0,12825,12825,0
Intellectual Property|Legal|Software,10000000.0,USA,2,1,811,14593,15404,0
Health and Wellness|Health Care|Medical,2200000.0,USA,1,1,0,15614,15614,0
Biotechnology,185740.0,USA,2,4,2120,12592,14712,0
Software,5250000.0,USA,2,3,2208,14425,16633,0
Mobile,18826300.0,ESP,2,2,1741,14140,15881,0
Design,800000.0,USA,1,4,0,15455,15455,0
Games|Software|Video Games|Web Development,2500000.0,USA,2,11,1174,15555,16729,0
Semiconductors,58000000.0,USA,2,10,100,13493,13593,0
Analytics|Android|Apps|CRM|iOS|Marketing Automation|Mobile|Optimization|Personalization|Software,7000000.0,USA,2,4,440,15441,15881,1
Biotechnology,85381111.0,USA,5,11,1413,13397,14810,0
Mobile,2000000.0,USA,1,4,0,15779,15779,0
Finance Technology|Financial Services|FinTech,17000000.0,USA,2,23,1219,15340,16559,0
Curated Web,775000.0,USA,2,1,460,15660,16120,0
Art,1100000.0,USA,1,5,0,16735,16735,0
Finance|Financial Services|FinTech|Information Technology|Social Entrepreneurship|Software|Technology,630000.0,IND,3,3,1773,14745,16518,0
Entertainment|Film|News|Software,125439500.0,GBR,2,2,460,14224,14684,0
Advertising|Enterprises,330000.0,USA,2,1,1374,15340,16714,0
Designers|Marketplaces|Retail,1000000.0,USA,1,1,0,16343,16343,0
Art|E-Commerce,390000.0,USA,1,9,0,15280,15280,0
E-Commerce,14450000.0,USA,4,10,1402,15062,16464,1
Software,6883956.0,USA,3,2,804,14056,14860,1
Art|Consumers|Internet|Mobile,50000.0,USA,1,1,0,14903,14903,0
Communications Hardware|Computers|Enterprise Software|Mobility|Wireless,30000000.0,USA,1,5,0,13451,13451,1
Career Management|Software,3770000.0,USA,1,1,0,14040,14040,0
Fuels|Nutrition|Oil|Renewable Energies,2500000.0,USA,1,3,0,16566,16566,0
Industrial|Oil|Renewable Energies,2500000.0,USA,1,4,0,16566,16566,0
Clean Technology|Organic|Waste Management,16111323.0,GBR,3,2,1080,15446,16526,0
Analytics|Logistics|Optimization|Security|Supply Chain Management,2254193.0,CHE,1,4,0,15918,15918,0
Biotechnology,56000000.0,USA,2,9,755,15974,16729,0
Manufacturing,1687547.0,USA,2,2,217,16444,16661,0
Security,20047324.0,USA,3,8,2592,11913,14505,1
Enterprise Software|SaaS,97166500.0,USA,7,22,2136,14386,16522,0
Chemicals|Distribution|Life Sciences|Marketplaces|Sales and Marketing,80000000.0,IRL,1,1,0,11932,11932,1
Biotechnology,83257446.0,USA,4,14,2267,12570,14837,0
Biotechnology,12000000.0,USA,1,2,0,14302,14302,0
Logistics,10000000.0,USA,1,3,0,12159,12159,1
Facebook Applications|Identity|Kids|Reputation|Security|Twitter Applications,43138.0,JPN,1,1,0,16030,16030,0
Software,1310000.0,FIN,1,2,0,13194,13194,0
Collaboration|Productivity Software|Software|Task Management,38200000.0,USA,4,21,1421,14123,15544,0
E-Commerce|Fashion|Mobile|Search,3750000.0,GBR,1,3,0,16107,16107,0
Software,2590000.0,SWE,1,2,0,13258,13258,1
Financial Services,1500000.0,USA,1,3,0,16539,16539,0
Health Care|Hospitals|Medical,20100000.0,USA,1,3,0,13600,13600,1
Biotechnology|Diagnostics|Health Diagnostics|Medical,2000000.0,USA,1,2,0,16210,16210,0
Bio-Pharm|Clinical Trials|Health and Wellness|Pharmaceuticals,85814905.17422621,USA,2,9,2545,13860,16405,1
Biotechnology,30693206.0,CHE,1,4,0,16707,16707,0
Biotechnology|Diagnostics|Health Care,39664050.0,USA,2,1,1275,13900,15175,1
Web Hosting,107000000.0,USA,1,3,0,15448,15448,0
Clean Technology,71350002.0,USA,8,2,1498,15215,16713,1
Biotechnology,18999997.0,USA,1,3,0,13822,13822,0
Biotechnology,87800180.0,USA,4,9,2593,12053,14646,0
Bio-Pharm,15500000.0,HKG,1,5,0,16661,16661,0
Software,539000.0,CAN,1,1,0,13118,13118,0
Human Resources|Software,10273803.0,USA,2,1,795,15625,16420,0
Consulting,2857456.0,SGP,2,2,396,15675,16071,0
Health and Wellness,155000000.0,USA,3,5,1701,15070,16771,0
Art|Big Data|Bitcoin|Early-Stage Technology|Intellectual Property|Internet|Machine Learning|Startups,2000000.0,DEU,1,4,0,16610,16610,0
Automotive|Insurance|Insurance Companies,500000.0,COL,1,1,0,16336,16336,0
Software,20000000.0,USA,1,3,0,13192,13192,1
Manufacturing,28000000.0,USA,1,3,0,16133,16133,0
Computers|Hardware + Software|Networking|Water,34860000.0,USA,3,7,1455,13138,14593,0
E-Commerce|Gadget|iPod Touch|Mobile,12743133.0,DEU,4,12,1512,14945,16457,0
Biotechnology,453000.0,USA,3,2,2346,12418,14764,0
Health and Wellness,213000.0,USA,1,1,0,16113,16113,0
Technology,50000.0,USA,1,1,0,16007,16007,0
Consulting,40000000.0,USA,1,1,0,15777,15777,0
Semiconductors,10000000.0,BEL,1,4,0,13522,13522,0
Manufacturing,100000000.0,CHN,1,1,0,12481,12481,0
Search|Social Media,25000000.0,USA,2,3,1155,9496,10651,1
Social Media,40000.0,CHL,1,1,0,15180,15180,0
Mobile,1850000.0,ISR,3,5,294,16020,16314,0
Messaging|Mobile|Networking,50000.0,SGP,1,2,0,14610,14610,0
CRM|Market Research|Social Network Media,600000.0,USA,2,2,1070,14339,15409,0
Analytics|Big Data|Business Intelligence|Collaboration|Retail,1800000.0,CAN,1,2,0,16218,16218,0
Curated Web|Entertainment|Events|Private Social Networking|Social Media|Startups,7500.0,CZE,1,1,0,15218,15218,0
Biotechnology,34000000.0,SGP,2,1,813,15175,15988,0
Biotechnology,16925741.0,USA,3,3,1469,13643,15112,0
Networking|Social Media,5600000.0,USA,2,1,1641,13290,14931,0
Mobile|Networking,18522536.0,ISR,5,8,2262,13019,15281,0
Hardware + Software,7000000.0,USA,1,2,0,13790,13790,0
B2B|Business Services|Financial Services,1350000.0,GBR,1,3,0,16756,16756,0
Internet|Leisure|Online Reservations,6949015.0,JPN,2,5,366,16160,16526,0
Consumer Goods|Fitness|Specialty Foods,4000000.0,USA,1,2,0,14000,14000,0
Software,300000.0,FRA,1,4,0,12965,12965,0
Advertising|Digital Media|Services,1460000.0,SGP,1,1,0,16637,16637,0
Collaboration|Contact Centers|Customer Service|Software|Unifed Communications,50000000.0,USA,1,1,0,12006,12006,0
Consumer Internet|Curated Web,2800000.0,ISR,2,3,972,15737,16709,0
Mobile,25652895.0,GBR,2,5,699,11323,12022,0
Clean Technology,136000000.0,USA,6,10,1787,14055,15842,1
Public Transportation,19932595.0,USA,3,7,920,15624,16544,0
Software,100000000.0,USA,1,1,0,12283,12283,1
Semiconductors,10000000.0,GBR,1,1,0,12524,12524,0
Software,654000.0,FIN,1,1,0,13497,13497,0
Finance Technology|Financial Services|Investment Management|Ventures for Good,20500000.0,USA,3,29,716,15979,16695,0
Enterprise Software|Human Resources,400000.0,USA,1,1,0,16269,16269,0
Biotechnology,17025000.0,USA,2,3,212,16252,16464,0
Health and Wellness,21500004.0,USA,4,7,677,15910,16587,0
Pharmaceuticals,57000000.0,CAN,1,5,0,12487,12487,1
Manufacturing,1800000.0,FIN,1,4,0,16534,16534,0
Biotechnology|Life Sciences|Marketplaces|Outsourcing|Pharmaceuticals,7000000.0,USA,3,2,2360,13794,16154,0
Pharmaceuticals,5000000.0,USA,1,1,0,12916,12916,0
Collaboration|Enterprises|Real Time|Software,28000.0,USA,2,2,200,15897,16097,1
Collaboration|Crowdsourcing|Software,2900000.0,USA,2,7,689,15706,16395,0
Security,40000.0,USA,1,1,0,15002,15002,0
News,20000000.0,USA,1,1,0,14432,14432,1
Financial Services,468489.0,GBR,1,1,0,15979,15979,0
Software,4900000.0,CHE,1,1,0,13327,13327,1
Manufacturing,1535000.0,USA,4,15,742,15765,16507,0
Real Estate|Real Estate Investors,15000000.0,USA,2,13,284,16248,16532,0
Software,3000000.0,CAN,1,1,0,12816,12816,1
Hardware + Software|RFID,200000.0,USA,1,1,0,15270,15270,0
Crowdfunding|Finance|Peer-to-Peer,4486920.0,GBR,1,1,0,16545,16545,0
Software,50800000.0,USA,3,15,668,14550,15218,0
News,1000000.0,USA,2,3,609,11412,12021,0
CRM|Customer Service|Customer Support Tools|Enterprise Software|SaaS|Tech Field Support,5700000.0,USA,2,8,264,14714,14978,1
E-Commerce|Furniture,40000.0,GBR,1,1,0,15911,15911,0
Manufacturing,250000.0,USA,2,3,327,15212,15539,0
Curated Web,21400000.0,USA,3,6,1213,13149,14362,1
Curated Web|Employment|Marketplaces|Mobile|Recruiting,13750000.0,USA,4,13,1814,14728,16542,0
Biotechnology,104680725.0,USA,9,23,2382,14045,16427,0
Curated Web,5000000.0,USA,1,1,0,13173,13173,0
Consulting|Databases|Human Resources|Intellectual Property,5000000.0,JPN,1,1,0,15586,15586,0
Network Security|Security,12900000.0,DEU,2,5,366,12173,12539,1
Hardware + Software,22420000.0,FRA,1,4,0,13094,13094,0
Analytics|Databases,53000000.0,USA,4,18,1786,13088,14874,1
Hospitals,60000000.0,ARE,1,2,0,16218,16218,0
Biotechnology,3000000.0,GBR,1,5,0,12382,12382,0
Biotechnology,8000000.0,USA,4,7,1717,12318,14035,0
Biotechnology,678000.0,GBR,1,2,0,13283,13283,0
Fashion,5473907.70659855,GBR,2,2,942,13118,14060,0
Mobile,1950450.0,AUS,2,1,270,15918,16188,0
Simulation|Software|Telecommunications,1500000.0,USA,1,1,0,15840,15840,0
Android|iPhone|Productivity Software|Social Media|Task Management,1900000.0,USA,2,5,409,15034,15443,1
Consumer Electronics|Home Automation|Mobile|Wireless,3698550.0,USA,5,4,754,15778,16532,0
Social Media|Software,300000.0,USA,1,1,0,15078,15078,0
3D Printing,250000.0,USA,1,4,0,16375,16375,0
Aerospace|Technology,7700000.0,SGP,1,6,0,16489,16489,0
Enterprises|Enterprise Software|Software,5300000.0,USA,1,3,0,11386,11386,1
Biotechnology|Health Care|Health Diagnostics,126134082.0,USA,7,15,2722,14000,16722,0
Enterprise Software,53209289.0,USA,6,13,4540,11379,15919,0
Biotechnology|Health Diagnostics,80000000.0,USA,4,5,2484,13300,15784,0
Design|E-Commerce|Ediscovery|Shopping,732225.0,DEU,2,3,138,15841,15979,0
Information Services,10000000.0,USA,1,3,0,10877,10877,1
Enterprise Software|Web Development,3160000.0,IRL,1,3,0,14173,14173,0
Information Technology|Software|Technology,13909650.0,FRA,2,4,1359,14503,15862,0
Fitness|Health and Wellness|Kids|Sports,140000.0,USA,1,2,0,16130,16130,0
B2B|E-Commerce|Fashion|Wholesale,500000.0,BRA,1,2,0,15371,15371,0
Health Care,7200000.0,USA,1,3,0,11192,11192,0
Biotechnology,52000000.0,USA,2,13,24,16056,16080,1
Games,7260000.0,USA,1,3,0,13041,13041,0
Information Technology,2000000.0,IND,1,1,0,16769,16769,0
Biotechnology,17000000.0,USA,1,2,0,16146,16146,0
Cloud Computing|Enterprise Software|Search|Software,67000.0,NOR,1,1,0,14662,14662,0
Cloud Security,118000.0,USA,1,1,0,16643,16643,0
Semiconductors,750565.0,GBR,1,3,0,14790,14790,0
Art|Design|Employment|Environmental Innovation|Human Resources|Manufacturing|Marketplaces|Social Media|Women,30000.0,SAU,1,1,0,16018,16018,0
Broadcasting|Software|Telecommunications|Video,12868200.0,FRA,2,8,1597,13181,14778,1
Software,35860000.0,USA,3,8,1620,12142,13762,1
E-Commerce,40000.0,SGP,1,1,0,15380,15380,0
Enterprise Software,25500000.0,USA,3,14,2430,12828,15258,0
Services|Testing|Web Tools,15000000.0,USA,1,4,0,11415,11415,0
Auctions|Design,6963750.0,GBR,1,1,0,15823,15823,0
3D|Augmented Reality|Delivery|Hardware + Software|Health Care|Mobile|Software|Visualization,10631795.0,USA,4,11,582,16068,16650,0
Software,4000000.0,USA,1,6,0,13542,13542,0
Health Care,2000000.0,USA,1,1,0,14489,14489,0
Semiconductors,10000000.0,USA,1,3,0,12404,12404,1
Business Services|Enterprise Software,40000000.0,USA,3,3,1666,10865,12531,1
Biotechnology,43500000.0,USA,4,18,2508,11575,14083,1
Automotive|Electric Vehicles,13000000.0,IND,2,3,177,16407,16584,0
Health Care,37673932.0,USA,6,8,1460,14589,16049,1
Enterprise Software,1840000.0,FRA,1,1,0,14270,14270,0
E-Commerce|Social Media Marketing|Sports,80000.0,USA,1,1,0,16435,16435,0
Software,1681068.0,USA,4,3,712,15295,16007,0
Fitness|Health and Wellness|Sports|Training,22500000.0,USA,2,3,2093,13438,15531,0
Recruiting|Software|Sports,25000.0,USA,3,3,612,15857,16469,0
Email|Enterprise Software|Physical Security|Security,8200000.0,USA,2,4,2638,12874,15512,1
Fashion|Fitness|Health and Wellness|Technology|Wearables,50700000.0,USA,3,13,722,16035,16757,0
Health and Wellness,225828977.0,USA,2,1,1072,14693,15765,0
Health Care|Medical|Medical Devices,3000000.0,USA,1,3,0,16567,16567,0
Automotive|Electric Vehicles|Software,131000000.0,USA,3,2,1616,14595,16211,0
Software,28787632.0,USA,3,1,2041,14659,16700,0
Biotechnology|Health Diagnostics,26733013.0,USA,4,4,1148,15547,16695,0
Databases|Market Research,73085.0,MEX,2,2,153,15918,16071,0
Restaurants,210638.0,GBR,1,1,0,16102,16102,0
Machine Learning,250000.0,CAN,1,1,0,16518,16518,0
Software,12500000.0,USA,1,3,0,12682,12682,0
Enterprise Software|Flash Storage|Storage|Virtualization,30000000.0,USA,2,7,994,14846,15840,0
Clean Technology,9000000.0,ISR,1,3,0,15748,15748,0
Fitness|Hardware + Software|Wearables,2449019.0,USA,4,3,653,15922,16575,0
Information Technology,591346.0,GBR,1,1,0,16234,16234,0
Biotechnology|Health Diagnostics,75583454.0,GBR,3,17,1291,15173,16464,0
Application Platforms|Health and Wellness|Health Care Information Technology|Information Technology,50000.0,USA,1,3,0,15967,15967,0
Leisure|Travel & Tourism,2000000.0,USA,1,19,0,16490,16490,0
Mobile|Productivity Software,700000.0,USA,1,7,0,15675,15675,0
Hardware + Software,152500.0,USA,2,1,194,15826,16020,0
Collaboration|Enterprise Software|Web Tools,210000000.0,AUS,2,3,1364,14804,16168,0
Advertising,300000.0,USA,2,2,324,16049,16373,0
Curated Web,58438.0,JPN,1,1,0,15292,15292,0
Internet,167163877.32829198,GBR,2,4,355,16408,16763,0
Games,22900000.0,USA,1,5,0,11382,11382,1
Publishing,1000000.0,USA,1,2,0,12286,12286,0
Games,2050000.0,USA,2,3,504,13570,14074,0
Publishing|Social Media,5400450.0,CAN,4,4,1130,14974,16104,0
Security,50000.0,USA,1,1,0,16496,16496,0
Games,22900000.0,USA,1,5,0,11401,11401,0
Bio-Pharm|Medical|Pharmaceuticals,6570000.0,USA,4,10,883,15706,16589,0
Biotechnology,13700000.0,USA,1,2,0,12062,12062,1
Manufacturing,8000000.0,JPN,1,1,0,16294,16294,0
Environmental Innovation|Renewable Energies|Renewable Tech|Solar,1765800.0,USA,1,1,0,14964,14964,0
Cloud Computing|Home Automation|Industrial Automation|Internet of Things|M2M,1065000.0,USA,3,16,839,15710,16549,0
Bio-Pharm|Medical|Pharmaceuticals,5073408.0,GBR,2,2,268,16351,16619,0
Advertising|E-Commerce|E-Commerce Platforms|Marketplaces|Mobile Commerce|NFC|Software,5500000.0,DNK,2,3,578,15638,16216,0
Biotechnology,26250000.0,ISR,2,4,948,15327,16275,0
Clean Technology,33649083.0,GBR,2,8,240,13579,13819,0
Biotechnology,62860000.0,USA,4,5,1478,15265,16743,0
Software,46341484.0,USA,6,17,4319,11477,15796,1
Health Care,410958.0,CAN,1,1,0,14184,14184,1
Clean Technology,8600000.0,IND,1,1,0,15869,15869,0
Web Hosting,39200000.0,USA,2,18,992,12251,13243,0
Medical Devices,8500000.0,USA,2,8,731,10957,11688,1
Bio-Pharm|Medical|Pharmaceuticals,100000.0,USA,1,1,0,16512,16512,0
Hardware + Software,52000000.0,USA,2,6,567,13762,14329,1
Internet,20000000.0,USA,1,3,0,11151,11151,0
E-Commerce,5821431.0,USA,7,4,2434,14188,16622,0
Mobile,13000000.0,USA,3,10,811,13489,14300,1
Semiconductors,10000000.0,CAN,1,4,0,12431,12431,1
Analytics|Big Data Analytics|Startups,9000000.0,USA,2,4,631,15978,16609,0
Software,2500000.0,USA,2,2,398,15035,15433,1
Information Technology|Services,7500000.0,USA,1,2,0,12303,12303,0
Software,800000.0,USA,1,2,0,13171,13171,0
Apps|Internet|Mobile|Services,25000.0,ARG,1,1,0,15553,15553,0
Mobile,200000.0,USA,1,2,0,15974,15974,0
Bridging Online and Offline|Events|Nonprofits|Software,5600000.0,USA,4,4,589,15881,16470,0
Software,5000000.0,USA,1,1,0,12926,12926,1
Fashion,3030502.0,GBR,1,4,0,16105,16105,0
Clean Technology,28600000.0,IND,4,10,2323,13987,16310,0
Biotechnology,24522872.0,USA,2,4,207,15555,15762,0
